Clinton Bank & Trust Company,Sq 3  Liberty  St. Helena & Bank Sts,CLINTON,LA,70722,-37.685944,145.141613,
Citizens National Bank,729 Fort Worth Drive,DENTON,TX,76201,33.198327,-97.138281,
Collin County National Bank,2201 West University Drive,MC KINNEY,TX,75070,33.199016,-96.578606,
SouthTrust Bank of Tuscaloosa County  National Ass,1427 Greensboro Avenue,TUSCALOOSA,AL,35401,33.200908,-87.564738,
National Bank of Commerce Tuscaloosa,1111 Greensboro Avenue,TUSCALOOSA,AL,35401,33.20395,-87.565942,
Tuscaloosa Federal Savings and Loan Association,1101 Greensboro Ave,TUSCALOOSA,AL,35401,33.204028,-87.565975,
National Bank of the South,1101 Greensboro Avenue,TUSCALOOSA,AL,35401,33.204028,-87.565975,
Central Bank of Tuscaloosa  National Association,901 Greensboro Avenue,TUSCALOOSA,AL,35401,33.205902,-87.566668,
First Alabama Bank of Tuscaloosa  N. A.,2222 9th Street,TUSCALOOSA,AL,35401,33.206704,-87.564337,
First State Bank,300 Broad Street,WRENS,GA,30833,33.208213,-82.387936,http://www.firstate.net
Peoples Bank of Tuscaloosa,2505 Sixth Street,TUSCALOOSA,AL,35401,33.208391,-87.569504,
Town and Country Savings Association,1432 North Central Expressway east,MC KINNEY,TX,75069,33.210095,-96.637447,
Vista National Bank,820 Williamston Street,VISTA,CA,92083,33.210104,-117.229351,
Security Bank,2301 University Blvd,TUSCALOOSA,AL,35401,33.210174,-87.567059,http://www.securitybanktusc.com
Morris County National Bank of Naples,301 East Main Street,NAPLES,TX,75568,33.210487,-94.67245,
First National Bank of Bridgeport,909 Stevens Street,BRIDGEPORT,TX,76426,33.211506,-97.758922,
First National Bank of El Dorado,Main At Washington Streets,EL DORADO,AR,71730,33.21185,-92.66377,
First Financial Bank,214 North Washington Street,EL DORADO,AR,71730,33.212742,-92.663783,http://www.ffb1.com
First Financial Bank,214 North Washington,EL DORADO,AR,71730,33.212742,-92.663783,
First State Bank of Texas,101 South Locust Street,DENTON,TX,76201,33.21442,-97.13245,
MBank Denton  National Association,215 West Hickory Street,DENTON,TX,76201,33.214529,-97.133868,
First State Bank of McKinney,1805 North Graves Street,MC KINNEY,TX,75069,33.215289,-96.62886,
First Federal Savings Bank of North Texas,321 West Oak Street,DENTON,TX,76201,33.215593,-97.134966,
Jefferson Heritage Bank,321 West Oak Street,DENTON,TX,76201,33.215593,-97.134966,
First National Bank of Jacksboro,201 South Main Street,JACKSBORO,TX,76458,33.215947,-98.158814,
The First National Bank of Jacksboro,201 South Main Street,JACKSBORO,TX,76458,33.215947,-98.158814,http://www.fnbjacksboro.com
First Bank,1651 West University Drive,MC KINNEY,TX,75069,33.216406,-96.630275,
Denton Federal Savings Association,300 North Elm Street,DENTON,TX,76201,33.216707,-97.133666,
Denton Savings Association,300 N Elm St,DENTON,TX,76201,33.216707,-97.133666,
Simmons First Bank of Eldorado  National Association,100 West Grove Street,EL DORADO,AR,71730,33.21825,-92.663881,http://www.simmonsfirst.com
Simmons First Bank of Eldorado  National Associati,100 West Grove And Washington Streets,EL DORADO,AR,71730,33.21825,-92.663881,
The Jacksboro National Bank,124 East Belknap,JACKSBORO,TX,76458,33.218266,-98.15926,http://www.mybanktexas.com
Jacksboro National Bank,124 East Belknap,JACKSBORO,TX,76458,33.218266,-98.15926,
Rancho Vista National Bank,1385 East Vista Way,VISTA,CA,92083,33.219991,-117.226138,
North Texas Bank  National Association,661 W. Thompson St.,DECATUR,TX,76234,33.221664,-97.593257,http://www.northtxbank.com
Citizens State Bank,Main Street,CARLETON,NE,68326,33.22507,-86.49373,
Farmers Bank,210 North Main,HAMBURG,AR,71646,33.226582,-91.797549, 
First State Bank of Carrollton  Alabama,Main Street,CARROLLTON,AL,35447,33.22737,-88.26485,
Northstar Bank of Texas,400 North Carroll,DENTON,TX,76201,33.22893143,-97.13143921,http://www.nstarbank.com
United National Bank,1200 West University Drive,DENTON,TX,76201,33.229314,-97.144746,
USBank,University And Hinkle Drives,DENTON,TX,76201,33.22948,-97.14464,
Western State Bank,University Drive At Fulton Street,DENTON,TX,76201,33.2297,-97.14314,
Texas Bank of Denton,University Drive At Fulton Street,DENTON,TX,76201,33.2297,-97.14314,
Home Bank of Arkansas,Main Street,PORTLAND,AR,71663,33.23177338,-91.51393127, 
Portland Bank,Main Street,PORTLAND,AR,71663,33.23177338,-91.51393127,
Bryant Bank,1550 Mcfarland Boulevard North,TUSCALOOSA,AL,35406,33.232116,-87.536732,http://www.bryantbank.com
FirstCity Bank,Main Street,GIBSON,GA,30810,33.23336,-82.59985,
Prosper State Bank,805 East First Street,PROSPER,TX,75078,33.233566,-96.793277,
First National Bank of Texas,300 North Main Street,DECATUR,TX,76234,33.234083,-97.584505,
Timberland Bank,2421 North West Avenue,EL DORADO,AR,71730,33.235193,-92.665458,http://www.timberlandbank.net
Prosper State Bank,P.O. Box 10,PROSPER,TX,75078,33.236169,-96.795401,http://www.bankprosper.com
Decatur Savings and Loan Association,910 Us Highway 380 West,DECATUR,TX,76234,33.24104,-97.571287,
First Bank of Alabaster,Main Street,KEYSTONE,AL,35007,33.24412,-86.82171,
Bank of Spalding County,201 West Taylor Street,GRIFFIN,GA,30223,33.247169,-84.264796,
Regions Bank  FSB,327 West Taylor,GRIFFIN,GA,30223,33.247211,-84.266231,
Bank of Griffin,433 West Taylor Street,GRIFFIN,GA,30223,33.24723,-84.269278,
Kent County State Bank,102 Donaho Street,JAYTON,TX,79528,33.248084,-100.57425,http://www.jaytonstatebank.com
Security State Bank of Commerce,1312 Washington Street,COMMERCE,TX,75428,33.250087,-95.900535,
First National Bank,1305 Washington Street,COMMERCE,TX,75428,33.250299,-95.900532,
Kent County State Bank,Main Street,JAYTON,TX,79528,33.25177383,-100.5824814,
Community Bank & Trust,1810 Main Street,BARNWELL,SC,29812,33.254285,-81.340375,
Borrego Springs Bank  National Association,547 Palm Canyon Drive,BORREGO SPRINGS,CA,92004,33.256951,-116.378467,
Citizens Bank and Trust Company,1235 First Street North,KEYSTONE,AL,35007,33.258136,-86.813164,
Farmers & Merchants State Bank of Krum,146 W Mcart Street,KRUM,TX,76249,33.259474,-97.232632,
Peoples Bank,500 North Jackson,MAGNOLIA,AR,71753,33.262802,-93.239504,
Union National Bank of Arkansas,North And Jackson Streets,MAGNOLIA,AR,71753,33.26467896,-93.239151,
Farmers Bank & Trust Company,200 East Main,MAGNOLIA,AR,71753,33.267049,-93.239279,http://www.fbtarkansas.com
First Federal Savings and Loan Association,201 East North,MAGNOLIA,AR,71753,33.26918,-93.23926,
First National Bank of Magnolia,300 North Jackson Street,MAGNOLIA,AR,71753,33.269265,-93.239286,
The Peoples Bank,500 North Jackson,MAGNOLIA,AR,71753,33.271142,-93.23921,http://www.peoplesbankmagnolia.com
United Security Bank,350 East Broad Street,DEVEREUX,GA,31087,33.273465,-82.989433,http://www.unitedsecuritybank.org
Bank of Hancock County,321 East Broad Street,DEVEREUX,GA,31087,33.276094,-82.971864, 
Bank of Heard County,Court Square,GLENN,GA,30217,33.28019,-85.09921,
First Georgia Banking Company,101 Main Street,GLENN,GA,30217,33.280219,-85.097487,http://www.firstgabnk.com
City Bank of Childersburg,214 Ninth Avenue  S.W.,COOSA PINES,AL,35044,33.28139,-86.356784,
McIntosh State Bank,210 South Oak Street,JACKSON,GA,30233,33.28200531,-83.97839355,http://www.mcintoshbancshares.com
Farmers and Merchants Community Bank,8180 East Highway 16,SENOIA,GA,30276,33.292477,-84.543487,http://www.fmcbonline.com
First State Bank,201 South Weatherford Street,CHICO,TX,76431,33.293061,-97.797336,http://www.fsb-wise-co.com
First Bank of Celeste,Sanger And Third Streets,CELESTE,TX,75423,33.29436,-96.19632,
The First Bank of Celeste,301 N. Hwy 69,CELESTE,TX,75423,33.294369,-96.196462,http://www.firstbankceleste.com
Citizens and Southern Bank of Jackson,102 East Third Street,JACKSON,GA,30233,33.294458,-83.966307,
First Georgia Community Bank,150 Covington Street,JACKSON,GA,30233,33.295872,-83.961627,http://www.firstga.com
First American Bank of Pelham,Us Highway 31 And County Highway 105,INDIAN SPRINGS,AL,35124,33.29644,-86.81148,
Home Federal Savings and Loan Association,101 North Main Street,BAMBERG,SC,29003,33.297023,-81.035022,
Home Federal Savings and Loan Association,2990 Main Highway,BAMBERG,SC,29003,33.297736,-81.034739, 
United Bank of Griffin,505 South Hill Street,GRIFFIN,GA,30223,33.303451,-84.254781,
Bank of Monticello,141 Green Street,MONTICELLO,GA,31064,33.306549,-83.692036,http://www.bankofmonticelloga.com
Bank of Wedowee,112 West Broad Street,WEDOWEE,AL,36278,33.309251,-85.486175,http://www.bankofwedowee.com
Small Town Bank,117 Main Street,WEDOWEE,AL,36278,33.310401,-85.48492,http://www.smalltownbank.com
First State Bank of Clay County,East Main Street And Fifth Avenue North,LINEVILLE,AL,36266,33.31122,-85.75073,
FirstState Bank,East Main Street And Fifth Avenue North,LINEVILLE,AL,36266,33.31122,-85.75073,http://www.fsbandme.com
Bank South  Jasper County National Association,Green And Mill Streets,MONTICELLO,GA,31064,33.3117981,-83.71405029,
Farmers & Merchants Bank,Marion Street,EATONTON,GA,31024,33.31272125,-83.36277008,http://www.ibankfmb.com
Ruidoso State Bank,Highway 70,RUIDOSO,NM,88345,33.314851,-105.63427,
Home State Bank,410 Carothers Avenue,ROCHESTER,TX,79544,33.31595,-99.857322,
Home State Bank  Rochester  Texas,Main Street,ROCHESTER,TX,79544,33.31936,-99.85596,
Farmers and Merchants Bank of South Carolina,8624 Old State Street,HOLLY HILL,SC,29059,33.319491,-80.408666,http://www.fmbsc.com
Bank of Gordo,106 Second Avenue Northwest,GORDO,AL,35466,33.319838,-87.904285,
Arizona Bank & Trust,1000 North 54th Street,CHANDLER,AZ,85226,33.319904,-111.96857,http://www.arizbank.com
Bank of Ruidoso,401 Sudderth Drive,RUIDOSO,NM,88345,33.322747,-105.637958,
First National Bank of Ruidoso,451 Sudderth Drive,RUIDOSO,NM,88345,33.322936,-105.640615,http://www.fnbruidoso.com
Wilson State Bank,2000 Green Avenue,WILSON,TX,79381,33.323637,-101.758271, 
First State Bank,142 North Ohio Drive,CELINA,TX,75009,33.324287,-96.786259,
First National Bank of South Carolina,801 Gilway Avenue,HOLLY HILL,SC,29059,33.326003,-80.42046,http://www.fnbsc.com
First Federal Savings and Loan Association of Eato,110 North Jefferson Avenue,EATONTON,GA,31024,33.326821,-83.388602,
Peoples Bank,209 South Jefferson Street,EATONTON,GA,31024,33.327908,-83.389233,
The Peoples Bank,209 South Jefferson Street,EATONTON,GA,31024,33.327908,-83.389233,http://www.tpbeatonton.com
First State National Bank,Main Street,JACKSON,SC,29831,33.32841,-81.79307,
SouthTrust Bank of Clay County,East Main Street & 5th Avenue North,LINEVILLE,AL,36266,33.32861328,-85.73461151,
Bank of Lake Village,101 Main Street,LAKE VILLAGE,AR,71653,33.330991,-91.281708,
Bank of Lake Village,201 Main Street,LAKE VILLAGE,AR,71653,33.331121,-91.282438,http://www.bankoflakevillage.com
Simmons First Bank of South Arkansas,417 Main Street,LAKE VILLAGE,AR,71653,33.331427,-91.284286,http://www.simmonsfirst.com
East Valley Community Bank,1940 North Alma School Road,CHANDLER,AZ,85224,33.333951,-111.859102,http://www.eastvalleybank.com
National Bank of Catalina,303 Crescent Avenue,AVALON,CA,90704,33.344614,-118.326417,
Bank of the Southwest,7910 South Kyrene Road  Suite 108,TEMPE,AZ,85284,33.346051,-111.945681,
Alvord National Bank,Wickham Street,ALVORD,TX,76225,33.34883,-97.696939,
Central Arizona Bank,3001 North Alma School Road,CHANDLER,AZ,85224,33.349768,-111.859029,
Bank of Inverness,East Grand Avenue And Third Street,INVERNESS,MS,38753,33.35366,-90.59278,
Farmers Bank,Hampton Road,LOCUST GROVE,GA,30248,33.35406,-84.1193,
First National Bank of Lewisville,202 Spruce Street,LEWISVILLE,AR,71845,33.357644,-93.577612,
The First National Bank of Lewisville,202 Spruce Street,LEWISVILLE,AR,71845,33.357644,-93.577612, 
Talco State Bank,506 Broad Street,TALCO,TX,75487,33.360677,-95.096896,
City Bank New Mexico,1096 Mechem Drive,RUIDOSO,NM,88345,33.361649,-105.664789,http://www.citybanknm.com
Bodcaw Bank,401 Thomas Street,STAMPS,AR,71860,33.362091,-93.498019, 
First National Bank of Sanger,301 Bolivar Street,SANGER,TX,76266,33.362257,-97.170687,
Sanger Bank,501 North Stemmons,SANGER,TX,76266,33.363853,-97.181208,http://www.sangerbank.com
First National Bank of Lincoln County,1141 Mechem Drive,RUIDOSO,NM,88345,33.364505,-105.663635,
Smackover State Bank,708 North Broadway,SMACKOVER,AR,71762,33.364687,-92.725175, 
Carolina First Savings Bank  F.S.B.,1031 Front Street,GEORGETOWN,SC,29440,33.368754,-79.286707,
First National Bank of Olney,307 West Main Street,OLNEY,TX,76374,33.370579,-98.756301,http://www.fnbolneytx.com
Olney Savings Association,300 E Main,OLNEY,TX,76374,33.370579,-98.756238,
Wolfe City National Bank in Wolfe City,101 East Main,WOLFE CITY,TX,75496,33.37073,-96.071077,
Alabama Banker's Bank  N.A.,1000 Urban Center Drive  Suite 240,SHOAL CREEK,AL,35242,33.370921,-86.989275,http://www.bankers-bank.com
Farmers and Merchants Bank,219 North Fourth Street,BUCKEYE,AZ,85326,33.371408,-112.586464,
Citizens and Southern Newnan Bank,17 Greenville Street,RAYMOND,GA,30263,33.371452,-84.799622,
First Union National Bank of Newnan,30 Greenville Street,RAYMOND,GA,30263,33.371706,-84.799685,
Delta Bank,91 West Side Square,COOPER,TX,75432,33.374471,-95.688712,
First National Bank in Cooper,West Side Square,COOPER,TX,75432,33.37449,-95.68871,
The First National Bank in Cooper,West Side Square,COOPER,TX,75432,33.37449,-95.68871, 
The Delta Bank,91 West Side Square,COOPER,TX,75432,33.374556,-95.6887, 
First Citizens Bank,19 Jefferson St,RAYMOND,GA,30263,33.376315,-84.799368,
Community National Bank,130 West Fallbrook Street,FALLBROOK,CA,92028,33.376597,-117.252179,
Peoples Bank and Loan Co.,Spruce Street,LEWISVILLE,AR,71845,33.37664,-93.5768,
May National Bank of Arizona,4611 East Baseline Road,PHOENIX,AZ,85040,33.377401,-112.158126,
Fayette County Bank,300 Peachtree Parkway South,PEACHTREE CITY,GA,30269,33.377976,-84.557175,
Union Bank  National Association,3631 East Baseline Road,GILBERT,AZ,85234,33.378982,-111.75373,http://www.ubaz.com
Union Bank of Arizona  National Association,3631 East Baseline Road,GILBERT,AZ,85234,33.378982,-111.75373,
Towne Bank of Arizona,3156 East Baseline Road,MESA,AZ,85204,33.379027,-111.763699,http://www.townebankaz.com
Bank of Coweta,110 Jefferson Street,RAYMOND,GA,30263,33.38175,-84.796449,http://www.bankofcoweta.com
West Alabama Bank & Trust,509 First Avenue West,REFORM,AL,35481,33.382878,-88.013756,http://www.wabt.com
Bank of Newnan,40 Bullsboro Drive,RAYMOND,GA,30263,33.383374,-84.786922,
Central Bank of Shelby County,104 Inverness Plaza,CAHABA HEIGHTS,AL,35243,33.384524,-86.789867,
First Coweta Bank,61 Bullsboro Drive,RAYMOND,GA,30263,33.38459,-84.78385,http://www.firstcowetabank.com
Bank of Hampton,East Main And Mcdonough Streets,HAMPTON,GA,30228,33.3851,-84.28291,
First Fidelity Bank  National Association,6232 N. 32nd Street,PHOENIX,AZ,85018,33.390357,-112.012499,http://www.first-fidelity.com
Farmers and Merchants Bank of Ashville,3449 Lorna Road,VESTAVIA HILLS,AL,35216,33.391399,-86.797224,
Spalding City Bank,Main Street,SPALDING,NE,68665,33.392126,-84.286198, 
First South Bank of Coweta County  National Associ,232 Bullsboro Drive,RAYMOND,GA,30263,33.392398,-84.768107,
Sun National Bank,1220 South Elma School Road  Suite 108,MESA,AZ,85202,33.392416,-111.857293,
Rio Salado Bank,1400 East Southern Avenue,TEMPE,AZ,85282,33.392816,-111.915443,
Pointbank,200 South Highway 377,PILOT POINT,TX,76258,33.394018,-96.946643,http://www.pointbank.com
Valley Bank of Commerce,207 North Pennsylvania Avenue,ROSWELL,NM,88201,33.394397,-104.526,
United New Mexico Bank at Roswell  National Associ,226 North Main Street,ROSWELL,NM,88201,33.394601,-104.522775,
Bank of the Southwest,226 North Main Street,ROSWELL,NM,88201,33.394601,-104.522775,http://www.bankofsw.com
Valley Savings Bank  F.S.B.,Third And Main Streets,ROSWELL,NM,88201,33.39537,-104.52276,
First Federal Bank,300 N Pennsylvania Ave,ROSWELL,NM,88201,33.395371,-104.526021,http://www.1stfedbank.com
Pioneer Bank,306 N Pennsylvania,ROSWELL,NM,88201,33.395513,-104.526008,http://www.pioneerbnk.com
United New Mexico Bank at Roswell,400 North Pennsylvania Avenue,ROSWELL,NM,88201,33.396548,-104.526029,
Fayette State Bank,State Highway 54,PEACHTREE CITY,GA,30269,33.396925,-84.60025,
SUNWEST Bank of Roswell  National Association,500 North Main Street,ROSWELL,NM,88201,33.397777,-104.522809,
Pointbank  National Association,200 South Highway 377,PILOT POINT,TX,76258,33.39861,-96.961512,
Peachtree National Bank,2603 Highway 54 West,PEACHTREE CITY,GA,30269,33.399283,-84.5873,http://www.pchnb.com
First Federal Savings Bank,1630 4th Avenue North,BESSEMER,AL,35020,33.400243,-86.956957,
First Financial Bank,1630 4th Avenue North,BESSEMER,AL,35020,33.400243,-86.956957,http://www.ffbalabama.com
Neighborhood Community Bank,145 Millard Farmer Industrial Boulevard,RAYMOND,GA,30263,33.40068,-84.772591,http://www.ncbbanking.com
Newnan Coweta Bank,145 Millard Farmer Industrial Boulevard,RAYMOND,GA,30263,33.40068,-84.772591,
Sears National Bank,2626 South Hardy Drive,TEMPE,AZ,85282,33.400741,-111.952085,
Bank of Leland,206 Broad Street,ELIZABETH,MS,38756,33.402471,-90.900486,
Bank of Williston,108 West Main Street,WILLISTON,SC,29853,33.402515,-81.423244,
American Community Bank of Georgia,2750 Highway 42 North,MC DONOUGH,GA,30253,33.403278,-84.220584,
Leonard National Bank,Collins Street,LEONARD,TX,75452,33.40436172,-96.22377014,
Citizens Bank,201 Main Street,WARRENTON,GA,30828,33.406973,-82.663066,
Liberty Eylau State Bank,U.S. Highway 59 And Loop 151,WAKE VILLAGE,TX,75501,33.40737152,-94.11824799,
First National Bank of Greenville,540 Main Street,GREENVILLE,MS,38701,33.407546,-90.897294,
Washington Federal Savings and Loan Association,536 Washington Ave,GREENVILLE,MS,38701,33.410725,-91.059516,
Stephens Security Bank,108 Ruby Street,STEPHENS,AR,71764,33.411416,-93.07011,
Security Bank,108 Ruby Street,STEPHENS,AR,71764,33.411416,-93.07011, 
Copper State Bank,300 Apache Trail,APACHE JUNCTION,AZ,85220,33.413738,-111.547353,
Mesa Bank,63 East Main Street,MESA,AZ,85201,33.414894,-111.829781,http://www.mesabankers.com
First National Bank of Chaves County,1901 North Main Street,ROSWELL,NM,88201,33.415978,-104.522961,
Bank of Columbia County,255 North Louisville Street,HARLEM,GA,30814,33.416932,-82.3119,
Citizens and Southern Bank of Richmond County,2820 Peach Orchard Road,PEACH ORCHARD,GA,30906,33.420031,-82.021707,
Hibernia National Bank of Texas,100 West Broad Street,WAKE VILLAGE,TX,75501,33.421355,-94.04307,
Texas Star Bank,110 East Jefferson Street,VAN ALSTYNE,TX,75495,33.421572,-96.577488,http://www.texasstarbank.com
First National Bank of Van Alstyne,110 East Jefferson Street,VAN ALSTYNE,TX,75495,33.421572,-96.577488,
Central Bank,104 Inverness Plaza,CAHABA HEIGHTS,AL,35243,33.422492,-86.703881,
Red Mountain Bank  National Association,10 Inverness Center Parkway  Suite 120,SHOAL CREEK,AL,35242,33.422619,-86.70078,http://www.redmountainbank.com
BNC National Bank,660 South Mill Avenue,TEMPE,AZ,85281,33.423549,-111.940065,
The Bank of Georgia,100 West Park Drive,PEACHTREE CITY,GA,30269,33.423598,-84.564444,http://www.bankofgeorgia.com
San Clemente Savings Bank  F.S.B.,621 South El Camino Real,SAN CLEMENTE,CA,92672,33.424409,-117.609984,
San Clemente Federal Savings Bank,621 South El Camino Real,SAN CLEMENTE,CA,92672,33.424409,-117.609984,
Farmers & Merchants State Bank,Main Street,LADONIA,TX,75449,33.4251,-95.94657,
Bank of San Clemente,300 South El Camino Real,SAN CLEMENTE,CA,92672,33.426278,-117.611455,
Jewelers National Bank,2035 West 4th Street,TEMPE,AZ,85281,33.426417,-111.970265,
Richmond County Bank,2507 Peach Orchard Road,PEACH ORCHARD,GA,30906,33.429694,-82.01552,
Mission Valley Bank  National Association,501 Avenida De La Estrella,SAN CLEMENTE,CA,92672,33.430309,-117.615382,
State Bank of South Carolina,712 Fent Street,GEORGETOWN,SC,29440,33.43077469,-79.32345581,
The First National Bank of Trenton,106 Hamilton Square,TRENTON,TX,75490,33.430989,-96.339555,http://www.fnbtrenton.com
First National Bank of Trenton,106 Hamilton Square,TRENTON,TX,75490,33.430989,-96.339555,
State First National Bank,8000 State Line Plaza,TEXARKANA,AR,75502,33.43264389,-94.01128387,
Texarkana Federal Savings and Loan  F.A.,2200 State Line Avenue,TEXARKANA,AR,75502,33.43264389,-94.01128387,
Texarkana Federal Savings and Loan Association,2200 State Line Avenue,TEXARKANA,AR,75502,33.43264389,-94.01128387,
SouthPoint Bank,3500 Colonnade Parkway  Suite 140,CAHABA HEIGHTS,AL,35243,33.433985,-86.737947,http://www.southpointbanking.com
Talladega Federal Savings and Loan Association,200 East Battle Street,TALLADEGA,AL,35160,33.434896,-86.100264,
The First National Bank of Talladega,120 East North Street,TALLADEGA,AL,35160,33.435698,-86.101226,http://www.fnbtalladega.com
Citizens Bank of Talladega,409 East Battle Street,TALLADEGA,AL,35160,33.435801,-86.094759,
First Citizens Bank,409 East Battle Street,TALLADEGA,AL,35160,33.435801,-86.094759,
Security Federal Savings Association,2826 New Boston Road,WAKE VILLAGE,TX,75501,33.43616,-94.079973,
Security Savings Association  FSA,2826 New Boston Road,WAKE VILLAGE,TX,75501,33.43616,-94.079973,
Security Savings Association,2826 New Boston Road,WAKE VILLAGE,TX,75501,33.43616,-94.079973,
Bank of America  National Association (USA),1825 East Buckeye Road,PHOENIX,AZ,85034,33.436705,-112.042833,http://www.bankofamerica.com
MeraBank Federal Savings Bank,1825 East Buckeye Road,PHOENIX,AZ,85034,33.436705,-112.042833,
FirstBank,3000 New Boston Road,WAKE VILLAGE,TX,75501,33.436959,-94.082633,
Talbot State Bank,710 North Glynn Street,WOOLSEY,GA,30214,33.437104,-84.455705,http://www.talbotstatebank.com
Mariners Bank,115 Calle De Industrias,SAN CLEMENTE,CA,92672,33.437387,-117.623822,
Sentry Savings Association,100 West Garza Street,RANSOM CANYON,TX,79364,33.438028,-101.642833,
Citizens Bank,103 Texas Avenue,RANSOM CANYON,TX,79364,33.438361,-101.642535,http://www.bankoncitizens.com
Bank of Kilmichael,Depot Street,KILMICHAEL,MS,39747,33.44085,-89.569619, 
Palmetto Heritage Bank & Trust,10919 Ocean Boulevard,PAWLEYS ISLAND,SC,29585,33.444046,-79.123351,http://www.palmettoheritagebank.com
Andrews Bank & Trust Company,Morgan Avenue,ANDREWS,SC,29510,33.44428,-79.56339,
Nexity Bank,3500 Blue Lake Drive  Suite 330,CAHABA HEIGHTS,AL,35243,33.44605255,-86.74367523,http://www.nexitybank.com
Trust Company Bank of Henry County  National Assoc,235 Keys Ferry Street,MC DONOUGH,GA,30253,33.446925,-84.139815,
Citizens and Southern Bank of Henry County,135 Keys Ferry Road,MC DONOUGH,GA,30253,33.44694,-84.141516,
First Bank of Henry County,120 Keys Ferry Street,MC DONOUGH,GA,30253,33.446942,-84.141735,http://www.firstbankofhenry.com
First Community Bank of Henry County,12 North Cedar Street,MC DONOUGH,GA,30253,33.447869,-84.138758,
Wells Fargo Bank Arizona  National Association,100 West Washington - 1st. Floor,PHOENIX,AZ,85003,33.448247,-112.075209,
Wells Fargo Bank of Arizona  National Association,100 Washington Street  Dept. 917,PHOENIX,AZ,85003,33.448247,-112.075209,
First Interstate Bank Card  N.A. (National Associa,100 West Washington Street,PHOENIX,AZ,85003,33.448247,-112.075209,
Barnett Bank of Fayette County,East Lanier Avenue,WOOLSEY,GA,30214,33.44825,-84.44842,
First National Bank in Munday,111 South Munday Avenue,MUNDAY,TX,76371,33.449071,-99.623851,http://www.fnbmunday.com
Bank of America Arizona,101 North 1st Avenue,PHOENIX,AZ,85003,33.449396,-112.075125,
Greater Arizona Savings and Loan Association,122 North Central Ave,PHOENIX,AZ,85004,33.449598,-112.073836,
Birmingham Federal Savings Bank,550 Montgomery Highway,VESTAVIA HILLS,AL,35216,33.44977,-86.789097,
Birmingham Federal Savings and Loan Association,550 Montgomery Highway,VESTAVIA HILLS,AL,35216,33.44977,-86.789097,
Columbia Bank,11 West Van Buren,AVONDALE,AZ,85323,33.449838,-112.349739,
Gateway National Bank,120 North 44th Street,PHOENIX,AZ,85034,33.450041,-111.987211,
Nextbank  National Association,4129 East Van Buren  Suite 200,PHOENIX,AZ,85008,33.451111,-111.992001,
Imperial Bank Arizona,400 East Van Buren Street  Suite 900,PHOENIX,AZ,85004,33.451444,-112.068608,
First Savings and Loan Association of W Mississipp,123 Main Street,BAIRD,MS,38751,33.451926,-90.650978,
State First National Bank,2000 Richmond Road,TEXARKANA,TX,75503,33.452367,-94.080755,
Planters Bank & Trust Company,212 Catchings Street,BAIRD,MS,38751,33.453401,-90.650649,http://www.planters-bank.com
Texarkana National Bank-Central Plaza,2318 Richmond Road,TEXARKANA,TX,75503,33.453813,-94.083205,
Asian Bank of Arizona,668 North 44th Street  Suite 123,PHOENIX,AZ,85008,33.455716,-111.98722,http://www.asianbankaz.com/
Plantation Federal Bank,11039 Ocean Highway,PAWLEYS ISLAND,SC,29585,33.456235,-79.114865,http://www.plantationfederal.com
Plantation Federal Bank.,11039 Ocean Highway,PAWLEYS ISLAND,SC,29585,33.456235,-79.114865,
Southern Community Bank,525 North Jeff Davis Drive,WOOLSEY,GA,30214,33.457346,-84.450281,http://www.southerncommunitybank.com
Community Bank,147 Highway 82,BAIRD,MS,38751,33.458046,-90.6521,
First Citizens Bank,675 North Jefferson Davis Drive,WOOLSEY,GA,30214,33.458559,-84.442288,
Texana Savings and Loan Association,4605 Texas Blvd,WAKE VILLAGE,TX,75501,33.460572,-94.048525,
Texarkana National Bank-Twin City,4805 Texas Boulevard,TEXARKANA,TX,75503,33.460589,-94.045582,
First Bank and Trust Company,620 Jeff Davis Drive,WOOLSEY,GA,30214,33.461081,-84.450283,
First Citizens Bank,655 Jeff Davis Drive,WOOLSEY,GA,30214,33.461407,-84.450256,
Century Bank  National Association,201 Rice Street,BOSTON,TX,75570,33.461694,-94.415151,http://www.centurybank.com
First Bank of Georgia,110 East Hill Street,THOMSON,GA,30824,33.463014,-82.499231,
First Federal Bank for Savings,310 Main,SESSUMS,MS,39759,33.463809,-88.819347,
National Bank of Commerce,301 East Main Street,SESSUMS,MS,39759,33.46381,-88.819238,
Cadence Bank  N.A.,301 East Main Street,SESSUMS,MS,39759,33.46381,-88.819238,http://www.cadencebanking.com
Peoples Bank,200 Main Street,SESSUMS,MS,39759,33.463829,-88.817808,
First Bank and Trust  New Boston,320 Highway 8 North,BOSTON,TX,75570,33.463835,-94.408465,
Security State Bank,300 University Drive,SESSUMS,MS,39759,33.463869,-88.813782,
First National Bank of Thomson,201 Jackson Street,THOMSON,GA,30824,33.46442,-82.501209,
Bank of Georgia,2008 Highway 54 West,WOOLSEY,GA,30214,33.464713,-84.449988,
Wells Fargo Bank (Arizona)  National Association,4832 East Mcdowell Road,PHOENIX,AZ,85008,33.465742,-111.977769,
Harbor National Bank,34180 Pacific Coast Highway,MONARCH BAY,CA,92629,33.467209,-117.698314,
Allied Bank of Georgia,204 Main Street,THOMSON,GA,30824,33.467475,-82.503207,
